

Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
681	9	34	24
682	31	12	21
683	42	10	32
684	25	16	6
685	21	5	32
686	19	7	28
687	6	30	20
688	8	19	30
689	32	23	9
690	9	18	28
691	52	42	6
692	21	32	9
693	41	9	26
694	38	10	26
695	12	30	21
696	7	19	29
697	36	22	7
698	30	10	20
699	20	9	31
700	9	25	35
701	9	32	22
702	20	29	11
703	32	22	8
704	8	38	21
705	7	33	21
706	34	6	18
707	18	5	30
708	30	21	11
709	11	30	20
710	9	22	35
711	12	31	21
712	7	29	18
713	9	24	41
714	25	10	41
715	9	22	33
716	7	18	28
717	871	882	6
718	6	2325	2315
719	18	31	7
720	31	12	21
721	29	9	19
722	29	6	18
723	9	18	28
724	34	23	7
725	21	30	11
726	70	6	58
727	31	19	8
728	32	21	7
729	6	33	23
730	8	24	35
731	6	23	34
732	23	10	35
733	22	31	12
734	9	37	26
735	32	8	20
736	6	29	19
737	31	8	21
738	8	47	20
739	31	18	7
740	21	30	7
741	34	6	23
742	10	29	19
743	7	38	22
744	5	31	21
745	8	22	33
746	1024	12	22
747	7	17	27
748	6	21	37
749	31	12	21
750	27	18	7
751	34	22	8
752	39	9	25
753	32	6	19
754	20	11	29
755	9	18	28
756	20	11	29
757	31	8	21
758	7	24	43
759	10	19	29
760	18	27	9
761	27	18	7
762	11	27	37
763	8	34	20
764	17	6	26
765	22	33	6
766	35	24	8
767	19	30	6
768	10	29	19
769	30	5	19
770	7	23	38
771	18	7	27
772	8	43	33
773	20	8	31
774	39	9	29
775	34	6	18
776	3057	3081	3071
777	4	16	30
778	29	7	19
779	25	9	41
780	29	19	10
781	19	8	28
782	5	34	24
783	25	9	45
784	20	33	6
785	37	20	7
786	29	8	19
787	46	8	19
788	7	24	35
789	6	32	22
790	11	20	30
791	32	20	8
792	19	32	6
793	10	191	19
794	10	34	24
795	21	33	8
796	39	6	23
797	23	7	35
798	21	30	11
799	32	20	7
800	33	6	22
801	24	34	8
802	8	19	32
803	23	33	8
804	9	18	28
805	8	23	34
806	9	18	28
807	8	35	25
808	29	20	10
809	1015	1026	8
810	35	7	25
811	22	31	12
812	10	1197	19
813	10	29	19
814	22	6	37
815	5	27	17
816	6	28	18
817	23	5	40
818	9	37	26
819	19	33	6
820	33	23	7
821	10	19	28
822	25	8	40
823	32	21	7
824	29	10	19
825	8	24	34
826	38	26	10
827	19	10	28
828	8	34	21
829	31	7	19
830	7	25	35
831	24	8	33
832	7	28	18
833	18	8	28
834	19	28	9
835	34	18	7
836	18	27	7
837	35	6	25
838	27	36	8
839	33	6	18
840	11	20	30
841	19	6	31
842	8	24	39
843	39	29	9
844	18	27	9
845	38	23	10
846	33	8	23
847	11	20	29
848	21	30	6
849	8	31	20
850	7	23	42
851	18	7	37
852	9	22	41
853	163	132	8
854	18	97	8
855	7	18	28
856	21	7	31
857	22	33	8
858	9	18	63
859	18	29	6
860	32	21	6
861	10	18	28
862	8	35	25
863	24	15	5
864	20	29	11
865	16	5	25
866	22	8	31
867	2078	2068	8
868	7	35	25
869	40	8	25
870	9	32	22
871	9	18	28
872	40	8	24
873	8	20	33
874	8	19	29
875	5	22	32
876	7	29	19
877	24	8	42
878	33	19	8
879	8	129	116
880	28	5	17
881	18	27	8
882	6	34	15
883	20	11	29
884	19	10	28
885	32	5	18
886	6	31	21
887	10	1435	19
888	19	5	28
889	17	6	30
890	6	30	19
891	27	18	7
892	10	37	24
893	28	19	10
894	21	11	30
895	6	22	32
896	7	34	19
897	18	9	27
898	19	10	28
899	20	7	39
900	34	18	7
901	7	34	20
902	25	9	34
903	11	20	29
904	23	34	10
905	8	20	33
906	33	16	6
907	16	25	6
908	33	22	6
909	30	8	20
910	7	33	23
911	21	30	12
912	8	17	28
913	19	31	7
914	40	6	15
915	28	6	18
916	38	7	28
917	7	34	23
918	36	9	25
919	7	36	21
920	47	6	58
921	11	30	20
922	36	8	24
923	26	9	41
924	27	42	8
925	7	31	21
926	17	29	6
927	8	34	24
928	18	34	7
929	7	40	21
930	7	39	23
931	36	26	10
932	32	6	22
933	8	24	35
934	5	33	22
935	4	16	26
936	23	33	7
937	22	39	6
938	9	28	18
939	23	7	36
940	38	7	24
941	19	33	7
942	5	2544	2553
943	37	26	10
944	11	29	20
945	41	8	25
946	23	34	8
947	33	24	7
948	35	24	8
949	8	19	29
950	6	19	31
951	23	10	36
952	28	19	8
953	31	22	12
954	34	10	24
955	12	31	21
956	17	7	2649
957	18	7	27
958	7	28	18
959	20	9	29
960	21	9	31
961	8	19	29
962	29	18	7
963	10	29	19
964	989	1000	977
965	8	31	21
966	19	28	10
967	30	11	20
968	8	30	20
969	8	29	19
970	19	10	28
971	20	11	29
972	19	6	31
973	8	20	33
974	8	29	19
975	32	20	8
976	20	29	11
977	10	29	19
978	6	35	25
979	30	21	11
980	29	7	19
981	6	18	28
982	18	8	33
983	27	18	8
984	11	30	20
985	5	32	22
986	32	9	22
987	23	35	8
988	28	5	17
989	6	17	29
990	31	21	8
991	8	35	19
992	7	19	31
993	8	38	25
994	18	6	27
995	21	31	8
996	7	33	21
997	18	30	7
998	28	7	18
999	12	20	30
