

Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
164	51	66	79
165	189	211	221
166	97	115	133
167	595	608	622
168	278	296	314
169	331	353	363
170	659	676	695
171	806	828	838
172	193	204	220
173	266	288	297
174	511	533	542
175	538	556	574
176	58	80	89
177	175	193	211
178	409	431	440
179	833	843	852
180	668	685	704
181	246	264	282
182	531	548	566
183	245	262	281
184	988	1005	1024
185	322	335	348
186	671	693	703
187	5	21	34
188	903	921	939
189	312	329	348
190	214	226	240
191	930	948	966
192	153	171	189
193	470	487	505
194	956	979	988
195	137	159	168
196	123	141	159
197	666	688	697
198	243	265	274
199	894	916	925
200	261	282	291
201	779	797	815
202	36	53	72
203	647	661	674
204	591	606	619
205	914	937	946
206	570	581	597
207	221	238	257
208	230	252	261
209	207	222	235
210	883	905	914
211	508	525	544
212	756	773	791
213	205	222	240
214	393	411	429
215	947	969	978
216	661	683	692
217	918	935	953
218	978	995	1014
219	987	1005	1023
220	197	220	229
221	163	185	194
222	129	141	155
223	865	878	893
224	576	588	603
225	274	287	297
226	94	112	131
227	707	729	739
228	777	794	813
229	649	664	678
230	763	777	790
231	829	851	860
232	339	361	370
233	968	981	990
234	279	296	315
235	297	315	333
236	52	74	83
237	614	626	641
238	850	868	886
239	838	860	869
240	378	393	407
241	778	795	814
242	388	400	414
243	211	223	233
244	595	617	626
245	192	214	223
246	534	552	570
247	537	554	573
248	780	797	816
249	247	270	279
250	737	759	769
251	126	148	158
252	959	976	994
253	394	412	430
254	414	432	451
255	337	351	365
256	879	897	915
257	955	977	986
258	283	298	312
259	795	812	831
260	248	265	284
261	287	304	323
262	417	429	443
263	61	73	89
264	1139	1149	1158
265	420	434	448
266	488	506	524
267	995	1017	9
268	517	534	553
269	340	354	367
270	556	578	587
271	335	357	366
272	473	488	502
273	132	141	151
274	786	808	817
275	394	408	422
276	736	751	764
277	611	629	647
278	514	531	549
279	607	619	633
280	676	691	705
281	775	789	803
282	566	578	588
283	587	606	624
284	349	366	385
285	161	184	193
286	307	324	343
287	11	29	47
288	833	844	860
289	630	648	666
290	893	910	928
291	706	723	742
292	590	605	619
293	183	198	211
294	263	275	291
295	45	57	70
296	781	803	812
297	760	778	796
298	758	780	789
299	520	538	556
300	453	475	485
301	151	166	179
302	42	57	70
303	224	235	251
304	318	340	349
305	912	930	948
306	990	1012	1021
307	736	753	772
308	962	977	991
309	171	188	207
310	692	714	724
311	128	143	157
312	774	797	806
313	763	774	790
314	404	418	431
315	1013	19	29
316	804	815	831
317	346	364	382
318	323	345	355
319	377	392	406
320	398	421	430
321	126	139	149
322	328	340	355
323	404	426	435
324	122	139	158
325	982	1004	1013
326	26	44	62
327	694	710	723
328	384	406	416
329	206	228	237
330	526	537	553
331	555	577	586
332	174	191	210
333	87	105	123
334	1072	1081	1091
335	225	237	250
336	226	249	258
337	94	112	130
338	446	468	477
339	424	446	455
340	678	696	715
341	95	118	127
342	191	213	222
343	155	171	190
344	854	876	885
345	577	594	613
346	476	494	512
347	474	492	510
348	653	670	689
349	801	819	837
350	850	867	885
351	312	329	348
352	152	174	183
353	155	165	175
354	1006	14	25
355	784	802	820
356	117	133	146
357	614	626	636
358	739	749	758
359	378	393	406
360	491	508	527
361	936	953	972
362	547	564	583
363	431	440	450
364	562	574	588
365	767	789	799
366	686	704	722
367	475	490	503
368	379	401	410
369	490	512	521
370	475	489	502
371	667	689	699
372	65	79	93
373	606	629	638
374	668	685	704
375	196	211	224
376	689	707	726
377	398	415	434
378	614	629	642
379	749	761	776
380	818	835	854
381	847	864	883
382	88	106	124
383	1010	16	26
384	214	228	242
385	202	214	229
386	771	793	802
387	225	243	261
388	882	899	918
389	173	188	202
390	716	733	752
391	818	835	853
392	59	76	95
393	59	81	90
394	230	249	267
395	501	515	529
396	272	294	303
397	16	39	48
398	71	83	96
399	712	729	747
400	243	253	262
401	216	233	252
402	220	237	256
403	533	555	565
404	786	803	822
405	343	365	375
406	64	77	90
407	943	954	969
408	347	364	383
409	200	217	235
410	915	933	951
411	664	682	700
412	241	263	272
413	65	83	101
414	907	919	934
415	453	476	485
416	575	585	594
417	274	283	293
418	751	763	778
419	417	429	444
420	657	668	684
421	806	818	833
422	204	216	231
423	314	336	346
424	720	742	752
425	801	812	828
426	487	499	514
427	395	406	422
428	549	560	576
429	206	218	233
430	948	962	976
431	756	774	792
432	446	461	475
433	362	380	398
434	845	863	881
435	123	135	150
436	448	470	479
437	151	168	187
438	560	577	596
439	149	161	177
440	552	564	574
441	178	200	209
442	95	112	131
443	480	496	515
444	66	81	95
445	404	415	431
446	518	531	545
447	980	991	1007
448	972	994	1003
449	79	96	115
450	263	272	282
451	580	592	608
452	699	716	734
453	589	598	608
454	228	240	256
455	307	324	343
456	43	60	79
457	374	389	402
458	175	193	212
459	468	490	499
460	802	816	830
461	11	32	42
462	900	914	928
463	113	135	145
464	175	192	211
465	943	961	979
466	969	984	998
467	355	369	383
468	476	494	512
469	622	640	658
470	411	433	443
471	336	348	362
472	82	99	118
473	636	653	672
474	350	368	386
475	420	438	456
476	25	47	57
477	403	421	439
478	207	224	242
479	298	316	334
480	982	999	1018
481	368	390	399
482	797	815	833
483	472	484	499
484	913	930	948
485	799	811	821
486	194	212	230
487	574	592	610
488	624	641	660
489	67	79	93
490	733	748	761
491	689	707	725
492	467	484	503
493	459	477	495
494	216	233	252
495	168	185	204
496	321	339	357
497	809	831	840
498	648	665	684
499	499	514	527
500	864	886	896
501	134	152	170
502	834	845	861
503	62	84	93
504	474	489	503
505	673	691	710
506	654	677	686
507	307	324	342
508	897	908	924
509	305	322	340
510	168	190	199
511	835	857	867
512	479	491	506
513	36	47	62
514	239	257	275
515	899	916	935
516	368	382	395
517	86	108	118
518	262	279	298
519	938	953	966
520	174	189	202
521	626	644	662
522	493	507	588
523	605	619	633
524	606	624	643
525	231	248	267
526	887	905	923
527	163	180	199
528	288	306	324
529	486	503	522
530	292	309	328
531	650	665	679
532	593	610	629
533	151	173	182
534	372	389	408
535	729	744	758
536	711	728	747
537	980	992	1005
538	575	590	603
539	928	945	963
540	108	119	128
541	79	102	111
542	406	428	437
543	243	260	279
544	494	511	529
545	600	618	636
546	599	621	630
547	574	595	605
548	345	362	381
549	921	938	957
550	729	747	765
551	781	798	817
552	798	815	833
553	327	339	354
554	184	196	210
555	754	766	776
556	177	194	212
557	532	549	568
558	78	90	106
559	602	614	628
560	891	903	919
561	915	926	941
562	161	172	188
563	876	890	904
564	533	555	565
565	438	460	469
566	582	593	609
567	893	904	920
568	99	121	130
569	774	786	801
570	795	818	827
571	738	760	769
572	919	933	946
573	149	162	175
574	169	180	196
575	679	693	706
576	695	709	721
577	492	503	518
578	722	733	749
579	697	715	733
580	754	767	777
581	924	941	960
582	882	896	910
583	281	293	308
584	292	304	319
585	419	436	454
586	693	711	729
587	575	592	611
588	46	63	82
589	883	900	918
590	425	442	461
591	290	308	326
592	938	952	966
593	80	98	116
594	140	158	177
595	74	92	111
596	786	803	822
597	580	594	607
598	743	760	779
599	705	726	744
600	311	325	334
601	568	587	597
602	672	687	700
603	523	540	559
604	712	734	743
605	224	241	260
606	207	226	240
607	593	615	633
608	502	518	533
609	259	276	294
610	28	50	59
611	530	547	566
612	478	495	514
613	882	893	909
614	672	689	708
615	92	104	114
616	162	174	188
617	123	138	152
618	561	579	597
619	102	124	133
620	890	902	912
621	131	153	162
622	599	621	631
623	290	305	318
624	783	800	819
625	845	862	881
626	231	245	259
627	682	696	709
628	61	72	88
629	673	685	700
630	933	944	959
631	226	238	253
632	317	331	344
633	77	99	108
634	984	1006	1015
635	819	830	845
636	36	47	63
637	853	865	880
638	994	1009	6
639	900	912	927
640	185	207	216
641	800	817	835
642	557	575	593
643	832	843	859
644	645	662	680
645	287	304	323
646	237	254	273
647	194	211	230
648	518	536	555
649	14	32	50
650	919	930	944
651	435	445	455
652	996	1008	8
653	124	135	151
654	419	441	451
655	213	236	245
656	227	245	264
657	591	608	627
658	458	470	485
659	602	619	638
660	232	254	264
661	778	789	805
662	964	978	992
663	196	205	215
664	666	678	693
665	110	124	137
666	706	720	733
667	133	147	160
668	421	432	448
669	278	290	305
670	11	33	42
671	322	334	349
672	275	287	302
673	562	573	588
674	97	113	127
675	409	424	438
676	764	786	795
677	74	89	102
678	320	341	351
679	546	563	582
680	587	609	618
681	984	1005	1015
682	1014	14	26
683	925	947	957
684	925	942	961
685	197	213	232
686	542	559	578
687	402	419	438
688	928	945	964
689	84	101	120
690	638	656	674
691	810	827	846
692	901	914	924
693	868	883	897
694	1000	6	18
695	881	898	917
696	10	26	40
697	565	576	592
698	814	825	841
699	234	251	270
700	465	482	500
701	729	746	765
702	655	672	691
703	65	83	101
704	232	244	259
705	905	916	932
706	560	575	588
707	790	802	818
708	459	481	491
709	602	619	638
710	320	338	357
711	714	731	749
712	754	772	790
713	86	103	122
714	675	692	711
715	21	35	49
716	84	106	116
717	701	718	737
718	799	817	835
719	120	137	155
720	461	483	492
721	595	617	626
722	964	979	992
723	192	210	228
724	367	389	398
725	267	285	303
726	922	940	958
727	900	918	936
728	623	646	655
729	780	792	805
730	153	167	180
731	652	670	688
732	260	277	296
733	656	673	691
734	251	268	286
735	88	105	124
736	560	578	596
737	365	386	396
738	449	462	472
739	718	735	754
740	586	604	623
741	601	623	633
742	687	705	723
743	1210	1220	1230
744	462	484	494
745	799	811	825
746	835	849	863
747	151	163	178
748	616	633	652
749	161	179	197
750	311	323	338
751	410	425	438
752	711	728	747
753	566	583	602
754	39	56	75
755	803	820	838
756	266	284	302
757	63	80	99
758	681	698	717
759	683	700	718
760	661	679	697
761	66	89	98
762	867	876	886
763	682	700	718
764	756	768	784
765	851	873	882
766	174	196	205
767	902	915	929
768	978	990	1005
769	489	500	516
770	960	982	991
771	588	599	615
772	373	395	404
773	117	134	153
774	102	119	138
775	957	974	993
776	101	113	128
777	946	960	973
778	248	263	276
779	936	954	972
780	269	283	297
781	913	927	941
782	314	337	346
783	375	392	410
784	277	294	312
785	482	499	518
786	85	100	114
787	677	692	705
788	63	77	90
789	965	983	1001
790	995	1011	6
791	305	320	333
792	586	603	622
793	152	174	184
794	911	933	943
795	755	769	782
796	809	827	845
797	368	382	396
798	681	697	716
799	264	286	295
800	838	854	868
801	266	276	286
802	852	870	888
803	482	500	518
804	79	101	111
805	410	422	431
806	566	583	602
807	802	814	824
808	780	798	816
809	637	659	668
810	638	652	666
811	664	686	695
812	589	606	625
813	812	829	848
814	470	484	497
815	235	252	271
816	636	650	664
817	989	1011	1021
818	378	395	414
819	710	724	737
820	86	101	115
821	948	966	984
822	1008	11	23
823	284	302	320
824	151	168	187
825	414	431	449
826	127	145	163
827	724	742	760
828	666	684	703
829	784	801	820
830	857	869	884
831	657	671	685
832	918	935	953
833	198	215	234
834	805	822	840
835	730	747	766
836	248	265	284
837	444	456	470
838	262	284	293
839	699	721	730
840	78	89	99
841	430	442	457
842	413	427	441
843	981	998	1017
844	623	633	642
845	423	445	454
846	697	719	729
847	464	481	499
848	393	410	429
849	108	126	144
850	498	515	534
851	222	240	258
852	927	944	963
853	406	424	442
854	74	91	109
855	617	631	645
856	557	579	589
857	675	690	703
858	467	489	498
859	195	214	232
860	169	191	200
861	293	310	329
862	274	286	302
863	467	489	498
864	446	464	482
865	470	487	505
866	929	946	965
867	1180	1189	1199
868	56	73	92
869	160	182	191
870	714	737	746
871	300	317	336
872	450	462	478
873	933	950	969
874	112	129	148
875	806	829	838
876	357	371	385
877	238	256	274
878	598	615	634
879	445	463	481
880	812	829	848
881	541	563	572
882	944	962	980
883	424	441	460
884	870	888	906
885	367	389	398
886	461	478	496
887	720	737	756
888	1006	14	24
889	322	339	358
890	550	565	578
891	86	104	122
892	386	408	417
893	614	632	650
894	588	605	624
895	696	707	723
896	981	999	1017
897	676	693	712
898	664	679	692
899	1005	13	22
900	160	182	191
901	14	32	50
902	281	298	316
903	561	578	597
904	180	198	216
905	272	289	307
906	692	710	728
907	462	479	498
908	552	569	587
909	390	407	426
910	895	913	931
911	446	463	482
912	150	167	185
913	576	593	612
914	37	54	73
915	38	55	74
916	682	696	710
917	391	413	423
918	988	1005	1024
919	637	655	673
920	647	669	679
921	686	708	717
922	671	688	706
923	681	698	716
924	668	685	704
925	661	676	688
926	410	427	446
927	159	177	195
928	347	369	378
929	869	887	905
930	50	65	79
931	230	247	265
932	916	938	947
933	653	671	689
934	770	792	801
935	205	216	232
936	364	382	400
937	278	300	309
938	772	787	801
939	90	108	126
940	987	1004	1022
941	967	984	1003
942	881	899	917
943	652	670	688
944	800	817	836
945	778	796	814
946	729	747	765
947	982	1000	1018
948	799	821	830
949	156	173	192
950	357	374	393
951	589	606	625
952	886	904	922
953	38	60	69
954	100	122	131
955	113	136	145
956	439	449	459
957	471	493	502
958	184	206	216
959	550	572	582
960	840	857	876
961	57	72	85
962	140	158	176
963	548	566	584
964	339	356	375
965	910	927	946
966	396	418	427
967	162	179	198
968	455	467	483
969	569	581	591
970	740	757	776
971	869	886	904
972	996	1010	5
973	495	513	531
974	736	758	767
975	947	965	983
976	716	728	743
977	823	841	859
978	858	875	894
979	208	230	239
980	200	217	236
981	788	807	826
982	549	562	576
983	500	518	537
984	477	494	513
985	283	300	319
986	287	304	323
987	321	343	353
988	656	673	692
989	694	706	723
990	1004	8	17
991	78	92	105
992	35	51	69
993	380	402	411
994	260	277	296
995	331	341	351
996	452	469	488
997	18	35	53
998	454	471	490
999	667	684	703
