

Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
183	13	25	38
184	36	12	24
185	13	27	40
186	12	25	39
187	38	12	26
188	6	20	33
189	37	11	24
190	34	9	22
191	38	12	25
192	21	33	8
193	13	26	39
194	12	26	39
195	22	35	10
196	7	19	32
197	24	36	12
198	41	13	28
199	37	11	24
200	38	12	26
201	20	34	7
202	10	22	35
203	21	34	8
204	19	32	6
205	35	9	22
206	9	22	35
207	13	25	38
208	24	36	11
209	13	26	38
210	6	20	33
211	9	22	36
212	38	11	25
213	32	6	20
214	25	38	13
215	6	18	31
216	19	31	7
217	13	26	39
218	12	24	37
219	36	9	23
220	10	23	37
221	20	32	7
222	11	24	38
223	22	35	9
224	25	37	12
225	5	19	33
226	9	21	35
227	10	23	36
228	7	19	32
229	19	32	8
230	38	12	26
231	36	11	24
232	25	38	13
233	39	12	27
234	6	20	33
235	36	11	24
236	7	19	32
237	22	35	10
238	12	25	38
239	37	12	25
240	11	25	38
241	20	33	8
242	39	13	26
243	34	8	22
244	6	20	33
245	22	35	10
246	22	34	8
247	23	35	11
248	5	18	30
249	32	6	21
250	31	5	19
251	24	37	12
252	11	24	36
253	12	25	38
254	27	39	14
255	13	26	38
256	37	10	25
257	7	19	32
258	10	23	35
259	8	22	35
260	10	22	35
261	33	7	21
262	37	12	25
263	12	24	37
264	33	7	20
265	30	5	18
266	8	21	33
267	9	22	34
268	27	39	14
269	6	20	33
270	38	13	26
271	31	5	19
272	19	31	5
273	19	32	7
274	10	29	41
275	11	25	38
276	35	10	23
277	38	12	25
278	12	25	38
279	26	38	13
280	6	20	33
281	23	35	10
282	8	20	36
283	35	8	22
284	5	18	32
285	5	18	32
286	24	36	12
287	25	38	13
288	9	21	38
289	11	23	38
290	11	24	37
291	6	18	31
292	32	6	20
293	36	11	24
294	25	37	12
295	28	41	13
296	34	7	22
297	22	35	10
298	11	24	37
299	33	7	20
300	17	30	5
301	11	23	36
302	25	39	12
303	23	36	10
304	10	22	35
305	12	25	39
306	12	25	38
307	32	7	20
308	23	35	10
309	36	10	24
310	22	35	9
311	19	32	6
312	20	33	7
313	13	27	39
314	31	5	19
315	8	21	34
316	6	20	34
317	21	34	9
318	39	12	26
319	31	5	19
320	38	12	26
321	9	22	35
322	9	21	34
323	21	34	9
324	13	27	39
325	24	36	12
326	19	31	6
327	23	36	10
328	24	36	11
329	32	8	20
330	30	4	18
331	13	25	38
332	23	35	11
333	22	35	10
334	32	6	20
335	13	26	40
336	6	19	32
337	21	34	8
338	22	35	9
339	9	22	35
340	20	33	8
341	9	21	35
342	38	13	26
343	6	18	31
344	18	32	7
345	39	12	27
346	34	9	22
347	21	33	8
348	11	23	37
349	36	9	24
350	12	24	37
351	11	24	38
352	38	12	25
353	6	19	33
354	37	11	25
355	24	37	11
356	33	7	21
357	6	20	35
358	20	32	8
359	18	31	5
360	32	7	20
361	34	7	22
362	24	36	11
363	32	7	21
364	32	6	20
365	22	35	11
366	38	13	26
367	24	37	10
368	19	31	6
369	21	34	9
370	21	34	9
371	18	31	6
372	21	33	9
373	16	32	46
374	26	39	13
375	36	9	24
376	9	22	35
377	24	36	10
378	12	24	37
379	20	34	8
380	5	18	30
381	32	7	20
382	11	24	38
383	13	26	39
384	10	23	36
385	31	5	18
386	19	31	6
387	13	26	40
388	36	9	24
389	9	22	36
390	37	10	23
391	25	37	12
392	12	25	38
393	5	18	33
394	7	20	33
395	11	24	38
396	26	39	14
397	22	35	9
398	23	41	11
399	37	11	25
400	38	11	25
401	22	34	9
402	23	36	10
403	31	5	19
404	20	33	8
405	8	20	33
406	17	30	5
407	12	26	40
408	25	37	12
409	12	25	38
410	12	25	38
411	7	19	32
412	6	20	33
413	12	24	37
414	9	21	34
415	20	32	6
416	32	6	19
417	34	8	22
418	37	11	25
419	38	12	26
420	8	20	33
421	25	37	13
422	7	20	34
423	23	36	10
424	38	12	26
425	19	32	7
426	33	8	21
427	9	22	36
428	7	19	31
429	7	21	34
430	9	22	34
431	37	11	25
432	11	24	37
433	33	7	20
434	38	12	26
435	18	31	7
436	11	24	37
437	36	11	25
438	8	21	34
439	11	24	36
440	37	12	25
441	10	23	35
442	32	6	19
443	38	13	26
444	31	6	19
445	5	18	32
446	11	24	36
447	7	20	33
448	36	10	23
449	31	5	19
450	18	31	6
451	31	6	19
452	36	11	25
453	9	21	34
454	10	24	36
455	23	35	11
456	25	38	13
457	19	32	7
458	19	33	6
459	11	24	37
460	21	33	8
461	17	30	5
462	19	31	6
463	10	22	34
464	18	31	7
465	12	25	37
466	5	19	32
467	34	9	22
468	5	18	31
469	12	25	39
470	34	8	22
471	8	21	34
472	12	24	39
473	32	7	20
474	20	32	7
475	24	37	12
476	31	5	20
477	23	35	11
478	20	34	8
479	33	8	21
480	26	39	14
481	38	12	25
482	11	24	37
483	21	35	9
484	11	23	36
485	11	24	37
486	24	37	12
487	36	9	24
488	9	22	35
489	37	11	24
490	27	40	14
491	37	11	25
492	5	18	31
493	25	38	13
494	12	25	39
495	32	7	20
496	34	8	22
497	19	32	8
498	36	11	24
499	23	38	10
500	38	11	25
501	8	21	35
502	13	26	40
503	12	25	37
504	22	34	9
505	25	37	11
506	13	27	40
507	22	35	10
508	34	8	21
509	23	35	9
510	11	24	36
511	6	18	31
512	24	37	11
513	8	21	34
514	34	8	21
515	13	26	39
516	9	23	39
517	19	31	6
518	33	7	21
519	25	38	13
520	7	19	32
521	9	22	34
522	27	40	14
523	7	21	34
524	19	31	6
525	7	20	33
526	37	11	24
527	12	27	40
528	18	30	5
529	36	10	23
530	24	36	10
531	5	18	30
532	37	11	24
533	32	6	20
534	37	11	24
535	31	6	19
536	11	24	37
537	10	22	36
538	37	13	26
539	35	9	22
540	13	26	39
541	24	37	12
542	13	26	39
543	19	32	7
544	37	11	25
545	6	20	33
546	11	24	36
547	36	11	24
548	35	7	22
549	8	20	33
550	12	25	37
551	12	25	39
552	25	38	12
553	31	6	19
554	23	35	11
555	36	10	24
556	36	10	23
557	37	12	25
558	21	35	9
559	13	25	38
560	25	39	9
561	31	5	18
562	35	9	23
563	19	31	7
564	31	7	20
565	23	36	11
566	7	21	34
567	8	21	34
568	6	18	31
569	33	8	21
570	33	8	21
571	8	21	34
572	20	35	8
573	33	8	21
574	34	7	20
575	6	18	31
576	23	36	11
577	22	34	9
578	17	30	5
579	5	18	32
580	36	11	24
581	12	25	39
582	32	7	20
583	10	22	35
584	7	20	33
585	21	33	8
586	22	35	10
587	11	23	36
588	35	9	22
589	38	12	26
590	31	6	19
591	37	13	25
592	38	12	26
593	13	25	38
594	25	37	13
595	32	5	19
596	19	33	7
597	24	37	11
598	11	24	37
599	21	34	8
600	22	35	10
601	36	9	23
602	23	36	11
603	19	31	6
604	33	8	21
605	4	17	30
606	40	13	27
607	22	34	9
608	35	10	23
609	36	10	24
610	33	7	21
611	12	26	40
612	10	23	36
613	38	13	26
614	37	13	25
615	6	18	32
616	32	6	20
617	22	35	10
618	34	7	20
619	32	6	19
620	6	19	32
621	13	26	38
622	27	40	14
623	32	7	20
624	10	23	36
625	37	11	25
626	39	14	27
627	33	7	22
628	36	11	23
629	24	36	12
630	4	17	30
631	24	37	12
632	20	33	7
633	7	19	33
634	35	8	23
635	13	26	39
636	14	26	39
637	22	34	8
638	39	13	26
639	25	38	12
640	37	11	25
641	6	19	33
642	9	22	36
643	9	22	36
644	36	10	23
645	32	5	19
646	34	8	21
647	11	24	38
648	37	12	25
649	20	33	7
650	31	6	19
651	11	23	36
652	19	32	6
653	32	7	20
654	23	36	11
655	25	38	12
656	38	12	25
657	25	38	13
658	24	37	12
659	25	38	12
660	23	36	11
661	32	6	19
662	34	9	23
663	22	34	9
664	23	36	11
665	35	9	23
666	18	31	6
667	25	38	13
668	7	20	34
669	9	24	36
670	21	34	9
671	34	8	22
672	25	38	12
673	24	37	11
674	11	23	36
675	40	13	27
676	12	25	37
677	36	11	23
678	7	19	32
679	7	21	34
680	19	32	7
681	9	22	35
682	9	22	36
683	5	19	31
684	30	5	18
685	19	31	7
686	5	18	32
687	25	37	13
688	23	35	10
689	12	25	39
690	20	33	8
691	19	31	6
692	20	33	8
693	27	40	13
694	33	7	21
695	31	6	19
696	19	31	6
697	8	21	33
698	32	5	18
699	19	32	7
700	24	36	11
701	12	25	38
702	35	9	22
703	23	35	9
704	21	33	8
705	7	19	33
706	9	22	35
707	21	35	8
708	9	21	33
709	22	37	8
710	5	18	32
711	34	9	22
712	10	22	35
713	34	8	21
714	22	34	9
715	37	10	24
716	34	8	21
717	19	32	6
718	35	10	23
719	9	21	37
720	35	11	24
721	32	7	21
722	13	26	40
723	9	23	36
724	9	22	35
725	10	24	37
726	32	6	20
727	35	10	23
728	9	21	34
729	8	21	34
730	7	20	33
731	22	35	10
732	19	31	7
733	35	10	23
734	36	11	24
735	34	8	21
736	22	35	9
737	34	9	21
738	8	21	34
739	20	33	7
740	8	20	33
741	39	13	27
742	23	35	11
743	22	34	10
744	5	18	31
745	39	10	25
746	23	36	11
747	38	13	26
748	34	8	22
749	33	8	21
750	20	32	8
751	21	34	10
752	33	8	21
753	33	6	20
754	25	38	13
755	12	24	36
756	34	8	22
757	19	32	6
758	10	23	36
759	35	9	23
760	10	23	37
761	6	19	32
762	24	36	12
763	11	23	37
764	17	30	5
765	34	8	21
766	20	33	8
767	14	26	39
768	34	5	19
769	25	38	13
770	23	36	11
771	23	36	11
772	23	36	10
773	32	7	20
774	19	31	7
775	26	39	13
776	19	32	6
777	40	13	28
778	21	34	8
779	31	4	19
780	8	21	34
781	13	27	40
782	9	21	34
783	26	38	13
784	38	12	26
785	6	20	33
786	37	10	25
787	6	19	32
788	38	12	26
789	11	24	36
790	32	7	20
791	24	36	11
792	24	37	12
793	6	19	31
794	12	25	38
795	5	18	31
796	8	21	34
797	19	32	7
798	6	19	32
799	39	13	27
800	20	32	8
801	37	10	23
802	22	35	11
803	39	13	27
804	37	11	25
805	11	24	37
806	22	34	8
807	10	24	37
808	8	20	33
809	11	24	37
810	25	38	12
811	22	34	9
812	23	36	11
813	32	6	19
814	20	34	7
815	26	39	14
816	13	26	39
817	20	32	7
818	20	32	7
819	35	8	22
820	10	23	36
821	7	20	32
822	12	25	38
823	8	21	34
824	32	6	20
825	11	24	38
826	22	35	10
827	21	34	9
828	18	31	5
829	31	5	19
830	7	21	34
831	19	32	8
832	18	31	6
833	36	8	23
834	30	6	19
835	19	31	6
836	25	38	12
837	37	12	25
838	21	33	8
839	18	31	6
840	24	37	11
841	21	33	8
842	37	12	26
843	7	19	32
844	11	24	37
845	9	22	35
846	22	35	11
847	39	12	26
848	34	9	22
849	6	19	32
850	9	22	34
851	8	21	33
852	32	6	19
853	33	7	21
854	11	25	40
855	6	19	33
856	12	24	38
857	30	5	19
858	26	38	13
859	33	8	22
860	12	25	38
861	36	10	24
862	37	12	25
863	24	37	11
864	13	26	40
865	20	32	8
866	12	24	37
867	7	20	34
868	37	11	24
869	35	10	23
870	44	14	31
871	35	8	23
872	6	19	32
873	10	23	36
874	33	7	21
875	24	37	11
876	25	38	13
877	8	21	34
878	13	25	38
879	32	6	20
880	35	7	21
881	8	22	35
882	30	5	19
883	8	21	34
884	35	10	23
885	18	30	5
886	31	5	19
887	26	39	14
888	24	37	13
889	39	12	26
890	9	21	34
891	7	21	35
892	34	10	22
893	31	6	19
894	37	12	25
895	20	34	7
896	22	35	10
897	37	12	25
898	37	12	25
899	36	11	24
900	10	22	34
901	32	6	20
902	37	12	25
903	36	9	23
904	19	32	6
905	38	12	26
906	23	36	11
907	39	13	26
908	10	23	36
909	6	19	32
910	35	9	23
911	8	20	33
912	30	5	18
913	5	18	30
914	25	37	12
915	9	23	36
916	12	25	39
917	10	24	37
918	6	19	35
919	34	8	22
920	18	31	6
921	21	34	8
922	33	7	21
923	30	5	18
924	7	20	33
925	21	35	9
926	22	35	11
927	38	12	25
928	31	6	19
929	25	38	13
930	32	7	20
931	9	22	35
932	39	13	26
933	25	37	13
934	5	18	32
935	37	12	25
936	7	21	34
937	19	32	6
938	7	19	32
939	23	36	10
940	22	35	10
941	12	24	37
942	7	21	34
943	14	26	40
944	23	35	9
945	22	36	10
946	35	9	22
947	19	32	6
948	18	30	6
949	20	33	8
950	8	21	37
951	8	21	35
952	8	21	34
953	31	5	19
954	9	21	34
955	9	24	37
956	22	34	9
957	32	6	20
958	32	8	20
959	20	33	8
960	36	10	23
961	6	19	32
962	37	10	23
963	35	9	22
964	23	35	9
965	18	31	5
966	10	23	37
967	25	37	11
968	26	39	14
969	32	5	19
970	25	37	12
971	36	9	24
972	32	6	21
973	21	33	9
974	22	35	9
975	22	34	9
976	6	19	32
977	36	9	22
978	5	18	31
979	22	34	9
980	36	9	22
981	8	21	33
982	5	18	30
983	11	25	38
984	25	38	13
985	33	7	21
986	5	20	38
987	19	31	7
988	12	25	38
989	22	35	9
990	10	23	36
991	24	37	10
992	20	33	7
993	36	11	24
994	24	37	12
995	32	6	20
996	18	30	5
997	35	10	23
998	21	34	9
999	22	35	10
